A=7603 B=7038 C=5398 X=321795239 Y=6246062782 Z=19436890591 M=9086
A=5297 B=3565 C=8207 X=797034879 Y=3399497655 Z=16925554669 M=3934
A=9397 B=9019 C=7793 X=506471248 Y=9932333606 Z=43283176630 M=5642
A=2466 B=3881 C=5892 X=729029726 Y=7903517815 Z=56353423723 M=2500
A=6550 B=3705 C=6174 X=608955145 Y=8064578179 Z=81733162675 M=8881
A=9723 B=9121 C=9284 X=218261642 Y=6757215686 Z=80216234570 M=3105
A=5532 B=3800 C=5258 X=605952080 Y=4858334741 Z=32305589585 M=4432
A=9390 B=5092 C=5383 X=428786327 Y=7128985740 Z=79233543005 M=3145
A=7999 B=7036 C=5117 X=633598766 Y=3732646625 Z=56723915961 M=7989
A=5034 B=5405 C=9038 X=372561005 Y=8753760529 Z=65483037273 M=4709
A=3692 B=9537 C=7501 X=440221681 Y=2758649479 Z=46235268661 M=8431
A=9443 B=6259 C=6695 X=781793657 Y=5910773986 Z=11538518539 M=7221
A=4014 B=5831 C=9682 X=937280179 Y=6490218677 Z=17103417080 M=2862
A=8552 B=5650 C=7208 X=797409560 Y=6900735370 Z=66153064890 M=1664
A=4762 B=5076 C=8889 X=244136956 Y=9080287021 Z=50049060066 M=7672
A=6055 B=9402 C=5094 X=417980902 Y=3579262680 Z=94842136750 M=4732
A=6333 B=7878 C=5639 X=692748774 Y=9923931465 Z=96680243060 M=8960
A=8235 B=3392 C=9556 X=996607855 Y=6038023821 Z=63238208881 M=6497
A=5386 B=3757 C=5890 X=546895598 Y=6165081103 Z=33445530019 M=8531
A=3211 B=5661 C=6239 X=369942325 Y=1244696085 Z=37723472032 M=9292
A=3052 B=9621 C=8115 X=244513426 Y=1567349805 Z=41537202345 M=7583
A=3205 B=5189 C=6200 X=636346952 Y=4376628449 Z=97549901557 M=9710
A=4755 B=8253 C=8056 X=640792607 Y=4196179014 Z=66305699427 M=5673
A=3858 B=4034 C=7057 X=161554159 Y=7966033413 Z=57817640811 M=9151
A=6365 B=6230 C=9689 X=627639692 Y=1886770520 Z=70028857252 M=6577
A=6813 B=5716 C=8819 X=158833439 Y=4311001097 Z=35341023328 M=6525
A=7894 B=8348 C=9413 X=502721428 Y=9032174874 Z=72334871944 M=8769
A=7052 B=5561 C=5568 X=549575913 Y=4673403176 Z=91148586637 M=8371
A=3972 B=4963 C=9211 X=751219153 Y=8268110810 Z=54039582240 M=7275
A=4576 B=8403 C=5278 X=126349210 Y=2760835742 Z=53088373880 M=5549
A=6960 B=8200 C=9024 X=500992907 Y=7981725101 Z=35381313242 M=3089
A=3888 B=5227 C=5615 X=168456489 Y=7903745217 Z=42526495271 M=3903
A=4982 B=6165 C=8481 X=459633101 Y=2848049218 Z=81151707563 M=9101
A=5902 B=9756 C=9803 X=646821041 Y=1526910961 Z=51535504426 M=7055
A=8984 B=9395 C=5227 X=192742400 Y=5223245735 Z=43888988221 M=1010
A=2116 B=9499 C=6365 X=278663075 Y=7844940771 Z=37401115205 M=4804
A=3089 B=6496 C=6856 X=454386566 Y=1936894937 Z=22622146200 M=4122
A=3349 B=5537 C=8247 X=274911075 Y=4338566073 Z=34605929120 M=2681
A=7656 B=9165 C=7713 X=223907257 Y=6806146444 Z=85244504712 M=6679
A=5109 B=8599 C=9276 X=273711279 Y=2469677757 Z=93578097160 M=9195
A=9152 B=8799 C=9524 X=344861295 Y=5974010082 Z=52973324132 M=5923
A=5268 B=4730 C=6649 X=930633750 Y=6511654223 Z=55188837598 M=7359
A=6088 B=5365 C=7008 X=718834888 Y=2482298996 Z=52159146670 M=3813
A=4211 B=3757 C=8832 X=399745510 Y=8242909382 Z=41211937569 M=4162
A=9233 B=3628 C=5390 X=485319566 Y=3307463883 Z=69348107026 M=9205
A=7389 B=6719 C=6991 X=187458294 Y=5810051224 Z=26704964026 M=9081
A=5282 B=6749 C=9986 X=632922202 Y=8739484714 Z=53509800824 M=6677
A=5063 B=7509 C=8023 X=638714868 Y=7152736284 Z=24209268739 M=9468
A=8221 B=7751 C=6485 X=506555399 Y=5834633399 Z=14748826464 M=8543
A=3800 B=6268 C=7658 X=422745978 Y=2748242681 Z=70869616277 M=9106
A=5094 B=3008 C=7476 X=786266018 Y=9757314150 Z=18827393835 M=1541
A=7361 B=9799 C=9901 X=560475395 Y=2812353540 Z=71225028316 M=8342
A=3136 B=3029 C=6313 X=969994740 Y=6760267365 Z=45478494308 M=4112
A=2749 B=7802 C=9676 X=198702072 Y=8625763131 Z=73760804314 M=4368
A=7691 B=3294 C=9905 X=978412084 Y=2673141082 Z=83886584644 M=6011
A=3707 B=4819 C=6454 X=680787438 Y=1773984103 Z=21297565781 M=3517
A=5430 B=9056 C=7837 X=586838751 Y=1233718324 Z=71808002459 M=9565
A=7497 B=6454 C=7359 X=549560684 Y=2393539262 Z=50683237469 M=7334
A=8247 B=3079 C=5826 X=437943207 Y=5199731770 Z=99722789175 M=1513
A=9574 B=3760 C=6949 X=376118454 Y=1445112562 Z=87505125623 M=8349
A=9053 B=7351 C=6216 X=616027030 Y=7479619046 Z=75864680221 M=5742
A=9352 B=7310 C=7461 X=760496128 Y=6303339507 Z=30915521209 M=9354
A=4804 B=5157 C=8710 X=781954387 Y=7823349330 Z=79187080103 M=7386
A=2685 B=5707 C=7458 X=934355185 Y=7195169735 Z=40624626833 M=7297
A=3830 B=6111 C=7742 X=470188592 Y=6621415589 Z=76268355722 M=5502
A=9737 B=7487 C=7053 X=924837514 Y=4440458690 Z=68108276928 M=7240
A=3107 B=5072 C=8558 X=795342492 Y=9538989751 Z=32568793389 M=8985
A=8530 B=3179 C=8549 X=570808827 Y=2615939644 Z=98588601471 M=1295
A=6320 B=3661 C=7470 X=626934407 Y=3404202150 Z=31273654315 M=4785
A=2371 B=8098 C=7003 X=117859053 Y=2482061836 Z=22893705312 M=6643
A=2032 B=4851 C=8391 X=851137744 Y=5675242036 Z=69498640820 M=5740
A=4595 B=9607 C=6771 X=199356555 Y=6084802985 Z=89187942191 M=5480
A=6592 B=6319 C=7278 X=952855974 Y=5359265179 Z=57623933831 M=3989
A=5462 B=4726 C=7724 X=530223536 Y=9603548496 Z=71416200056 M=3498
A=5109 B=7151 C=8037 X=687735918 Y=9232038263 Z=15661970629 M=4670
A=5414 B=7988 C=8335 X=556970792 Y=5732024826 Z=81494026047 M=4480
A=6782 B=3105 C=7275 X=858201496 Y=4015743670 Z=44905891835 M=1164
A=8230 B=5358 C=9047 X=990865330 Y=3526136530 Z=62493481221 M=2960
A=4420 B=8074 C=7146 X=994005116 Y=4528354218 Z=41058510894 M=9649
A=4480 B=6702 C=7268 X=347723810 Y=9317468786 Z=75549458688 M=4991
A=8254 B=4278 C=7586 X=995291777 Y=6683582240 Z=52800952656 M=8534
A=3700 B=3512 C=9630 X=342451523 Y=7527497109 Z=55984757267 M=4609
A=7142 B=3391 C=9295 X=655707031 Y=1421635948 Z=12340772317 M=3198
A=3359 B=5211 C=9699 X=522943382 Y=3310080711 Z=45337804933 M=8905
A=6896 B=5564 C=7848 X=540438774 Y=9276165396 Z=21626464757 M=7069
A=6700 B=7383 C=9504 X=891752172 Y=3295505196 Z=14928629318 M=2476
A=2827 B=8171 C=8437 X=266972562 Y=7584284011 Z=26889685318 M=4611
A=4750 B=4016 C=9733 X=918313436 Y=1573389188 Z=80643294000 M=8544
A=9847 B=5521 C=6692 X=538548719 Y=7100161624 Z=29721084565 M=9452
A=8170 B=9085 C=8380 X=602400905 Y=4556661668 Z=68715125163 M=3968
A=6239 B=5547 C=6449 X=162399920 Y=6525826501 Z=59542400499 M=9725
A=6052 B=8316 C=8906 X=623341885 Y=2836387316 Z=52121721994 M=5128
A=9418 B=5441 C=5408 X=880277869 Y=6786072342 Z=74616636181 M=8477
A=3067 B=3309 C=8384 X=346247566 Y=9007489194 Z=58356698880 M=4373
A=5525 B=3373 C=8304 X=639326231 Y=4861169601 Z=66828286913 M=6560
A=3491 B=5231 C=5457 X=610014668 Y=9662825249 Z=12437671476 M=7748
A=4420 B=9664 C=7439 X=847624359 Y=2830853394 Z=87323265597 M=8874
A=6668 B=9368 C=7012 X=553746256 Y=5441245465 Z=28245269633 M=2933
A=2858 B=9046 C=5242 X=937692860 Y=5419276387 Z=31374919732 M=9076
A=3755 B=3281 C=8719 X=229772673 Y=4458192346 Z=47496573602 M=9052
A=9770 B=8055 C=9090 X=844467180 Y=6796558428 Z=36553715145 M=6589
A=5784 B=6971 C=9690 X=840902753 Y=6794353525 Z=68368171072 M=9803
A=4426 B=7192 C=6713 X=687525921 Y=1736414479 Z=89657424056 M=3394
A=2136 B=6981 C=6528 X=457694435 Y=3182667250 Z=43481099071 M=8756
A=7669 B=7096 C=8668 X=303653238 Y=9587316943 Z=71035055662 M=3937
A=6050 B=8955 C=8642 X=144006878 Y=6740568733 Z=24428344510 M=1218
A=9177 B=7823 C=8223 X=601615948 Y=3016117639 Z=20323814247 M=3309
A=4429 B=5279 C=9675 X=387364784 Y=4594204106 Z=63754537262 M=2755
A=5803 B=7423 C=7088 X=965254048 Y=1090554930 Z=38424432864 M=8006
A=7007 B=7533 C=8685 X=237966540 Y=9715190814 Z=33479769805 M=7375
A=8961 B=9872 C=5530 X=839954864 Y=5280320116 Z=73181803385 M=8402
A=4260 B=3443 C=6929 X=759242443 Y=4278160460 Z=82704175590 M=2338
A=3327 B=5290 C=9820 X=118556869 Y=2581628279 Z=41518792669 M=1679
A=9274 B=4192 C=7670 X=171701743 Y=9117194034 Z=37598936922 M=7519
A=8901 B=8064 C=6490 X=493191377 Y=9435365289 Z=42533643630 M=3820
A=6235 B=5500 C=6412 X=944010049 Y=1179315330 Z=47791746168 M=2156
A=3213 B=8579 C=7879 X=464326537 Y=2525658761 Z=16839292127 M=2361
A=6959 B=6045 C=7446 X=672318596 Y=5942809073 Z=25872664762 M=9919
A=7790 B=9505 C=7314 X=177987688 Y=1308453386 Z=83696199399 M=2332
A=7607 B=5244 C=7232 X=677229395 Y=6966021156 Z=91593109409 M=7716
A=7225 B=5303 C=9951 X=702474672 Y=2228857452 Z=58446707512 M=9836
A=3746 B=7568 C=9088 X=947961832 Y=3661826678 Z=65206849752 M=3051
A=3515 B=9848 C=7420 X=814987165 Y=3230406952 Z=24771931032 M=2537
A=3248 B=5344 C=9446 X=210179449 Y=6770690710 Z=92376677260 M=9690
A=3900 B=7681 C=6078 X=541648195 Y=8259299693 Z=32310627558 M=5488
A=7324 B=6721 C=5973 X=836900769 Y=4045781563 Z=63590759982 M=7289
A=5773 B=6107 C=8112 X=652393668 Y=5036473560 Z=79362255946 M=1048
A=4893 B=5178 C=5744 X=184903633 Y=3541254907 Z=30305335729 M=7163
A=7233 B=6248 C=5219 X=455974000 Y=6690985919 Z=82408266912 M=3997
A=4228 B=8923 C=5520 X=688303351 Y=4854409290 Z=13128197122 M=4999
A=6449 B=8951 C=6223 X=885374624 Y=4365871917 Z=95515197278 M=6027
A=2417 B=4861 C=5447 X=547626561 Y=5613439170 Z=72220134733 M=1234
A=9549 B=3926 C=9267 X=657855548 Y=2190906769 Z=41154001440 M=6095
A=3776 B=9196 C=9901 X=453196211 Y=1665236168 Z=17264418782 M=4248
A=6397 B=4211 C=5389 X=616442051 Y=9984816565 Z=67601313819 M=1473
A=4967 B=3180 C=9342 X=842309570 Y=6033270746 Z=95087131810 M=3388
A=6768 B=3966 C=9911 X=764004672 Y=3636315002 Z=79063254294 M=6131
A=4997 B=4677 C=9286 X=653426082 Y=9495615017 Z=51778169728 M=9208
A=2190 B=8456 C=7645 X=495132696 Y=7189151816 Z=42886421858 M=6957
A=4845 B=3568 C=8825 X=264159293 Y=2273975390 Z=33346246780 M=5772
A=6835 B=7351 C=7871 X=118302118 Y=4745739202 Z=89992909634 M=8999
A=9138 B=8545 C=6225 X=632279730 Y=6605468698 Z=35615515908 M=4311
A=2191 B=7488 C=8539 X=211250641 Y=7373463712 Z=88624929810 M=8282
A=7213 B=9112 C=8442 X=394679683 Y=2998999038 Z=39279679156 M=7968
A=3066 B=8146 C=6677 X=680313579 Y=6700380082 Z=66431607607 M=8071
A=7381 B=4024 C=9452 X=550240486 Y=3273194729 Z=65385663102 M=1156
A=3682 B=7059 C=8472 X=608044521 Y=9366398572 Z=27601947317 M=3704
A=3075 B=6646 C=8972 X=162899049 Y=9390915301 Z=92472296347 M=4552
A=5329 B=9197 C=7074 X=802828483 Y=9255404943 Z=62775954905 M=8325
A=4875 B=9231 C=6153 X=306899037 Y=6150885951 Z=38995568399 M=1184
A=7557 B=6459 C=7035 X=760960398 Y=3808976567 Z=80776610263 M=5795
A=6193 B=5553 C=9871 X=618349604 Y=9551599330 Z=56373515984 M=3929
A=9428 B=3522 C=6020 X=935102686 Y=8872215343 Z=93788740112 M=2757
A=4096 B=3533 C=9158 X=681109552 Y=9271506326 Z=75814270279 M=3774
A=6554 B=8089 C=6251 X=902508329 Y=1828748839 Z=82814174698 M=8802
A=7367 B=7271 C=9823 X=221235930 Y=7195213022 Z=91702519981 M=7695
A=8767 B=5429 C=9922 X=396677930 Y=1191669239 Z=89454493512 M=3248
A=2326 B=5694 C=6480 X=651818130 Y=9462331044 Z=43784462506 M=8498
A=9288 B=7631 C=5544 X=805820817 Y=7985094553 Z=48050759195 M=7186
A=6560 B=5731 C=9866 X=568708751 Y=2320283659 Z=61371958418 M=8717
A=6855 B=3637 C=8361 X=249969676 Y=5163050366 Z=27644982374 M=2231
A=5009 B=7532 C=9891 X=299392697 Y=5372809729 Z=33699681196 M=3878
A=3527 B=7715 C=5880 X=236551418 Y=3792432592 Z=83893092177 M=3340
A=8021 B=3556 C=8765 X=136210014 Y=5825362759 Z=30867104219 M=5797
A=5504 B=5654 C=5434 X=974413112 Y=4649810328 Z=56294529684 M=3168
A=5272 B=5279 C=7938 X=260143510 Y=7759742531 Z=20310369977 M=2119
A=7858 B=9954 C=5836 X=535235503 Y=4070422056 Z=43067079242 M=3785
A=8007 B=3217 C=7631 X=147088148 Y=4492186573 Z=96672259059 M=8010
A=4064 B=3831 C=7008 X=267169992 Y=2148156388 Z=59829717061 M=8448
A=6048 B=4541 C=8139 X=964346806 Y=2254027479 Z=27890611810 M=4445
A=6159 B=3202 C=5420 X=885849674 Y=3008567821 Z=68930980747 M=3329
A=4469 B=7715 C=6645 X=260702499 Y=4867512521 Z=39462636069 M=8179
A=6923 B=6201 C=7969 X=695223464 Y=2889614036 Z=41674340853 M=4011
A=3566 B=5781 C=6945 X=643310640 Y=6058520538 Z=30440266226 M=2298
A=2928 B=6771 C=7043 X=126660454 Y=2387031493 Z=77035890971 M=4973
A=8364 B=9582 C=8082 X=865673841 Y=3651276299 Z=46871060365 M=4467
A=9011 B=4116 C=9976 X=830092329 Y=1255133626 Z=55287356207 M=6755
A=4682 B=3760 C=8635 X=695797947 Y=9724468869 Z=55348616966 M=4534
A=6015 B=8041 C=5980 X=687603404 Y=4536071088 Z=32475392026 M=1838
A=9123 B=8544 C=9786 X=150605908 Y=9422791905 Z=24524293590 M=3318
A=9779 B=7036 C=8383 X=720205779 Y=7485499140 Z=32617474292 M=5480
A=2627 B=8807 C=5897 X=734251889 Y=3482974065 Z=45418334029 M=8342
A=7257 B=4739 C=8048 X=776067121 Y=8307600740 Z=44360269323 M=8090
A=8518 B=9188 C=6826 X=870350803 Y=5170279079 Z=16391214480 M=7536
A=6083 B=5961 C=9408 X=211439257 Y=3261453122 Z=10538443582 M=3971
A=4006 B=4396 C=6292 X=987133335 Y=2593547948 Z=38723048685 M=5785
A=8443 B=6274 C=7826 X=700799751 Y=6129303221 Z=65416081594 M=4458
A=3652 B=7925 C=8660 X=795547260 Y=2745995515 Z=11291018269 M=7691
A=4775 B=5643 C=7300 X=947261241 Y=4244240848 Z=40093979422 M=8049
A=4638 B=4682 C=5996 X=594161820 Y=8264622697 Z=12839940559 M=6669
A=6135 B=7684 C=7616 X=304123465 Y=6514486576 Z=59332089322 M=3503
A=5475 B=9119 C=9313 X=737601715 Y=8127319887 Z=29071972132 M=6153
A=9547 B=7365 C=7314 X=439116625 Y=4643161724 Z=12136344631 M=2031
A=7132 B=5249 C=9927 X=213360528 Y=2458190906 Z=30260343788 M=3980
A=7388 B=5552 C=6302 X=101588201 Y=9693726620 Z=73335017540 M=6345
A=9690 B=4371 C=9514 X=920772058 Y=3371745774 Z=58699768304 M=2216
A=3426 B=6720 C=6084 X=405622791 Y=3277421327 Z=72140809964 M=3265
A=8583 B=6752 C=6619 X=330791154 Y=2435738272 Z=75319232946 M=8670
A=6814 B=3662 C=9315 X=586631318 Y=1925578134 Z=62960654595 M=7573
A=6023 B=8290 C=5731 X=500536590 Y=4063665803 Z=27397185069 M=6267
A=6521 B=5683 C=9753 X=672674970 Y=5862445833 Z=76939806689 M=9423
A=4147 B=9044 C=5201 X=297276047 Y=4141422503 Z=13383050028 M=7602
A=6312 B=3376 C=6052 X=648835432 Y=1388663346 Z=80409052016 M=9726
A=4606 B=9582 C=5368 X=138928252 Y=3912974472 Z=12814826471 M=9704
A=3543 B=6169 C=8850 X=908067798 Y=3296872779 Z=84621922783 M=3097
A=5284 B=3976 C=9262 X=547224480 Y=3448857893 Z=79623637566 M=8546
A=7764 B=4715 C=6549 X=371348647 Y=7939499619 Z=30923479692 M=2411
A=4167 B=6891 C=7038 X=441009079 Y=7424788884 Z=87039890285 M=7239
A=6652 B=6007 C=9060 X=712103964 Y=1480887469 Z=70978168345 M=7940
A=8690 B=8867 C=7830 X=622916768 Y=6653082707 Z=81176785820 M=5992
A=4167 B=8604 C=5335 X=724562339 Y=9520837118 Z=14769606350 M=7134
A=2389 B=9082 C=6977 X=156214124 Y=9958929552 Z=99727342821 M=9230
A=7689 B=5958 C=6170 X=353401868 Y=2662958920 Z=19489818993 M=3225
A=6034 B=7415 C=7306 X=751131300 Y=1509350697 Z=43037247700 M=9670
A=5502 B=4894 C=8897 X=778942918 Y=3768402177 Z=18244640055 M=8374
A=3511 B=5422 C=9858 X=123972748 Y=7341114599 Z=34185252673 M=9841
A=5777 B=4866 C=9698 X=992300738 Y=5923829178 Z=37640690142 M=2701
A=7792 B=8516 C=9586 X=813046940 Y=3936944640 Z=86273775273 M=1899
A=2593 B=3125 C=5427 X=268119258 Y=8674602786 Z=70318340834 M=1039
A=3522 B=6420 C=7979 X=415966499 Y=9285548513 Z=84119508006 M=5058
A=5840 B=3344 C=7296 X=742475459 Y=3138073597 Z=55590049964 M=3681
A=6531 B=4330 C=7814 X=210839538 Y=5698637524 Z=24137223978 M=9791
A=7304 B=4917 C=5168 X=212918500 Y=3558193163 Z=77897615973 M=3679
A=8617 B=3080 C=9087 X=595603666 Y=1328850423 Z=77434012115 M=2121
A=3548 B=3474 C=7644 X=379614425 Y=5712676452 Z=88980053723 M=1529
A=7090 B=4115 C=9960 X=745815911 Y=3309909195 Z=24530961159 M=7410
A=3357 B=3946 C=8526 X=165310247 Y=9220658358 Z=36508032333 M=9199
A=6695 B=6753 C=5174 X=980773152 Y=5584325439 Z=60836650146 M=7614
A=2360 B=4923 C=5318 X=339411100 Y=5640782906 Z=32785658232 M=7834
A=8283 B=8737 C=6832 X=657939832 Y=1684708200 Z=94946401742 M=9860
A=4640 B=5248 C=5567 X=280349370 Y=5060627979 Z=25346573025 M=8236
A=5148 B=5700 C=6297 X=506300005 Y=3243095068 Z=99011278653 M=5426
A=2271 B=4390 C=5140 X=168329896 Y=4992201518 Z=53426599326 M=1357
A=9565 B=9375 C=6168 X=987806063 Y=1576388112 Z=63903905415 M=4676
A=8241 B=9132 C=8195 X=922932033 Y=1920720453 Z=90071661413 M=3968
A=4642 B=5357 C=5005 X=209886238 Y=8302442528 Z=45230582368 M=6573
A=8843 B=3899 C=9742 X=895376874 Y=8956033539 Z=16502328187 M=4148
A=3221 B=3927 C=8074 X=546219893 Y=7956849215 Z=98140794831 M=1208
A=5147 B=4581 C=6684 X=958199097 Y=6060882847 Z=11639877775 M=6376
A=8589 B=3530 C=9736 X=540948801 Y=6610314267 Z=22420888635 M=2748
A=6756 B=6581 C=5910 X=457251597 Y=4134045566 Z=75865476777 M=1606
A=8860 B=5487 C=7427 X=962695272 Y=1446517162 Z=63197466339 M=9166
A=3009 B=4451 C=8479 X=412825752 Y=1402621771 Z=14876577652 M=3416
A=9880 B=9870 C=7178 X=652876087 Y=8647429599 Z=66518228200 M=4243
A=5769 B=4589 C=9149 X=123652203 Y=6529819755 Z=85801436548 M=8489
A=6509 B=7639 C=6401 X=147728709 Y=2509514640 Z=14782491757 M=1052
A=4933 B=9858 C=9032 X=896033828 Y=9670000436 Z=28363227316 M=9607
A=9475 B=7863 C=6377 X=299107715 Y=9551238094 Z=90891399240 M=8161
A=5178 B=4558 C=5194 X=489342889 Y=7420371037 Z=11525880829 M=1317
A=7176 B=9440 C=6365 X=918219404 Y=7936035990 Z=52133697900 M=1471
A=3469 B=6274 C=6017 X=773706226 Y=3518626102 Z=20772330340 M=8865
A=6304 B=3239 C=7707 X=416574721 Y=4119291006 Z=96966312663 M=8472
A=7443 B=6513 C=9712 X=636992017 Y=7859784392 Z=23547401966 M=8260
A=2275 B=4495 C=5355 X=759511081 Y=6834238936 Z=32484447268 M=2202
A=7868 B=6148 C=8630 X=746608155 Y=5427553776 Z=44302611557 M=8525
A=7134 B=7600 C=9998 X=735757465 Y=3975249927 Z=67978336772 M=6675
A=5519 B=4810 C=7036 X=277316614 Y=2702157809 Z=27034691285 M=1216
A=7334 B=3673 C=7379 X=908542561 Y=3036008047 Z=45543653767 M=9423
A=8220 B=3851 C=6516 X=459213759 Y=3647285265 Z=44047364491 M=3405
A=6867 B=8697 C=7082 X=209015384 Y=5576022409 Z=18181422039 M=8831
A=2201 B=8395 C=7407 X=819785567 Y=7272374965 Z=24790247052 M=2702
A=6228 B=7147 C=6668 X=428805689 Y=2059374711 Z=74319968595 M=6308
A=2667 B=3604 C=8865 X=231836267 Y=5748086369 Z=94685046324 M=7081
A=5767 B=7539 C=7540 X=712968615 Y=3131245362 Z=61478352878 M=8096
A=4928 B=4553 C=7379 X=873844483 Y=6790338093 Z=41335091897 M=6283
A=2163 B=6117 C=8077 X=401191119 Y=3710064743 Z=95587244194 M=3787
A=5459 B=3275 C=9452 X=444056960 Y=3561927369 Z=18503418347 M=9841
A=2406 B=9916 C=6611 X=161824752 Y=3131829386 Z=83142191491 M=6865
A=9008 B=7589 C=6148 X=375690390 Y=9598006946 Z=20263570640 M=7301
A=9577 B=6107 C=5310 X=505768372 Y=8084296995 Z=85497790073 M=2228
A=8111 B=3633 C=8907 X=439710695 Y=6000815021 Z=61979046050 M=8158
A=6786 B=8533 C=7989 X=442140482 Y=8261673389 Z=51647829997 M=4618
A=8159 B=9326 C=7397 X=261963740 Y=8317785216 Z=84524684743 M=6010
A=5327 B=6384 C=7244 X=766477439 Y=5603188608 Z=51511636632 M=3003
A=2783 B=4091 C=7021 X=100228137 Y=3664878920 Z=73958185218 M=2575
A=4180 B=6174 C=7393 X=912900848 Y=8587354651 Z=57768797735 M=8806
A=5703 B=6986 C=8531 X=639691213 Y=5183323359 Z=91979629310 M=5521
A=9284 B=9745 C=6773 X=999886407 Y=4717102718 Z=62211721705 M=7367
A=9758 B=7433 C=9330 X=221863703 Y=4652557372 Z=93977882594 M=3719
A=5476 B=3906 C=7538 X=696665770 Y=1098363013 Z=71911448297 M=3131
A=5297 B=3091 C=8585 X=232293508 Y=5449139375 Z=84658245618 M=8818
A=4225 B=7779 C=5333 X=948905452 Y=9556024802 Z=65301821546 M=9423
A=9187 B=7794 C=8173 X=556556409 Y=6379308974 Z=17317573706 M=8600
A=3219 B=8765 C=9334 X=869657785 Y=6258591682 Z=21892347711 M=9528
A=9945 B=4670 C=7579 X=429416533 Y=6430615347 Z=18868131329 M=2921
A=4832 B=5229 C=6435 X=732065733 Y=4931241509 Z=89965758131 M=4727
A=4555 B=3062 C=5601 X=199612860 Y=1255147115 Z=96705433965 M=7254
A=7738 B=9344 C=6632 X=516322275 Y=2853240271 Z=16552751802 M=2327
A=7968 B=8208 C=8645 X=946243980 Y=7835683380 Z=31399780538 M=5294
A=9622 B=9441 C=6364 X=709804781 Y=7693718932 Z=41157912589 M=8728
A=5165 B=6974 C=5934 X=607573506 Y=1009545719 Z=60901185734 M=8365
A=6145 B=3488 C=7283 X=440346849 Y=2812425037 Z=38815784975 M=1080
A=6422 B=7328 C=8359 X=685946826 Y=8995028044 Z=71352714272 M=7436
A=6537 B=5470 C=6525 X=414236476 Y=6936265709 Z=42842409091 M=3659
A=5111 B=7546 C=9678 X=846730314 Y=4516653311 Z=75988688370 M=7008
A=5227 B=3368 C=6316 X=949143137 Y=1145166905 Z=78642355396 M=7863
A=9942 B=5933 C=8099 X=994129532 Y=5030933931 Z=89280486986 M=1942
A=8193 B=6161 C=5968 X=580701491 Y=8065881571 Z=51438627913 M=4066
A=7600 B=7306 C=8709 X=112181465 Y=3424895693 Z=49640121546 M=3869
A=9808 B=7485 C=7158 X=196262924 Y=2369181277 Z=51284466118 M=8928
A=6596 B=8366 C=5076 X=428791502 Y=6848359947 Z=63947874724 M=3348
A=7354 B=5998 C=7789 X=179286178 Y=3013635175 Z=29223397268 M=3275
A=8561 B=5603 C=9371 X=474378791 Y=6722716447 Z=43979440001 M=8662
A=6517 B=5429 C=5683 X=564396387 Y=1866007722 Z=35870878679 M=7698
A=5296 B=4990 C=5698 X=219475363 Y=5072094286 Z=47879516095 M=1447
A=9228 B=5160 C=6107 X=247040359 Y=4013409019 Z=13794465367 M=9387
A=4788 B=7700 C=5269 X=777697264 Y=9406288619 Z=87062080013 M=9373
A=8213 B=3118 C=6173 X=295805614 Y=7542672498 Z=54225132116 M=8778
A=9892 B=9926 C=8557 X=357374381 Y=6574978340 Z=70052570112 M=5046
A=8289 B=6569 C=6508 X=861186459 Y=8858189607 Z=96363648767 M=7993
A=4800 B=3383 C=8885 X=349242287 Y=8166393861 Z=83253035886 M=7383
A=2599 B=7102 C=8518 X=998067637 Y=7582753278 Z=31051171179 M=3899
A=2554 B=7496 C=9457 X=311881055 Y=8009287520 Z=33622511215 M=3027
A=2891 B=3388 C=9017 X=298875507 Y=9437748585 Z=10017694171 M=5598
A=2589 B=8592 C=9294 X=416412547 Y=5100713774 Z=42254300673 M=5883
A=4018 B=4616 C=7527 X=997902592 Y=9770392957 Z=44828444036 M=2028
A=7328 B=5021 C=8888 X=400401395 Y=7265352328 Z=66724390430 M=6037
A=6798 B=3012 C=6272 X=427790264 Y=6344748451 Z=68852029582 M=3689
A=4243 B=3129 C=9980 X=941587819 Y=7301758560 Z=65836783674 M=9263
A=3258 B=4544 C=8898 X=458749683 Y=4860836685 Z=97076230711 M=1565
A=4743 B=9148 C=8194 X=140130973 Y=2138553618 Z=15756623799 M=7866
A=3086 B=7888 C=9179 X=392310310 Y=4228219283 Z=28089627162 M=4124
A=6216 B=5349 C=9432 X=653821782 Y=7799091528 Z=49308731035 M=6418
A=5971 B=5264 C=8623 X=811571772 Y=4624589846 Z=16674979512 M=1406
A=4776 B=9345 C=9598 X=398070862 Y=7477041951 Z=11823589226 M=7051
A=9808 B=9225 C=6779 X=930330080 Y=4111921764 Z=28122459973 M=6185
A=5443 B=9770 C=6827 X=498768603 Y=6811441249 Z=19584635605 M=1850
A=7672 B=3294 C=8024 X=189383015 Y=8572694317 Z=55114818330 M=8310
A=2581 B=6440 C=8323 X=343906744 Y=9668813525 Z=60822608727 M=2305
A=3061 B=3262 C=7900 X=323219615 Y=9092757388 Z=14201218436 M=1104
A=5196 B=7716 C=6479 X=661826820 Y=7556733043 Z=89759283776 M=6144
A=3905 B=8461 C=8025 X=513844442 Y=7885989646 Z=67170437335 M=4309
A=4029 B=4435 C=5649 X=176482343 Y=3922330648 Z=54425159467 M=3484
